iter	Logloss
0	0.621954963
1	0.5688997259
2	0.5251093477
3	0.4903435635
4	0.4638733439
5	0.4423789575
6	0.4268971366
7	0.4135523683
8	0.4026429663
9	0.3941730758
10	0.3861264745
11	0.3791029925
12	0.3740797497
13	0.3702491502
14	0.3657533406
15	0.362162578
16	0.3580708606
17	0.3545686088
18	0.352001646
19	0.3494803342
20	0.3472952991
21	0.344953003
22	0.3425324351
23	0.3407290231
24	0.339079253
25	0.3374644675
26	0.3359118356
27	0.3343653298
28	0.3329261399
29	0.3315247711
30	0.3305180623
31	0.3293908205
32	0.3284434301
33	0.3275783018
34	0.3266392683
35	0.3255714537
36	0.3248419791
37	0.3240354729
38	0.3228963253
39	0.3221031323
40	0.3213422786
41	0.320524389
42	0.3197217309
43	0.3190550838
44	0.3184137018
45	0.3176560563
46	0.3169718007
47	0.316448665
48	0.3159634317
49	0.3154864926
50	0.3150012819
51	0.3144552979
52	0.3140226519
53	0.3135301184
54	0.3130081735
55	0.3125112379
56	0.3120674727
57	0.3117569421
58	0.3113434193
59	0.3108271936
60	0.3103673613
61	0.309988831
62	0.3094715386
63	0.3092321425
64	0.3089752089
65	0.3085589061
66	0.3081408789
67	0.307877299
68	0.3076185928
69	0.3074166729
70	0.3071670606
71	0.3070093467
72	0.3067303247
73	0.3065412228
74	0.3062070787
75	0.3056194637
76	0.3052567616
77	0.3049477236
78	0.3047532298
79	0.3044991848
80	0.3042028246
81	0.3039205594
82	0.3037073406
83	0.3033681273
84	0.3032202331
85	0.3029367704
86	0.3027977986
87	0.3023843076
88	0.3021395974
89	0.301891932
90	0.3017555971
91	0.3014476607
92	0.3012585587
93	0.3009551148
94	0.300670827
95	0.3003518762
96	0.3001989133
97	0.2999372636
98	0.2996775257
99	0.2994829157
100	0.2991841268
101	0.2988791482
102	0.2986409062
103	0.2982709414
104	0.2979873246
105	0.2978040037
106	0.2976469275
107	0.297403307
108	0.297159962
109	0.2969457204
110	0.29673524
111	0.2964702648
112	0.296164636
113	0.2959419975
114	0.2957088251
115	0.2954842825
116	0.2952109521
117	0.2949888179
118	0.2947458643
119	0.2945914913
120	0.2943853756
121	0.2941688474
122	0.2939559199
123	0.2937792486
124	0.2934853373
125	0.2933200259
126	0.2931347659
127	0.2929064196
