iter	Passed	Remaining
0	16	8419
1	38	9551
2	49	8181
3	62	7733
4	75	7457
5	89	7341
6	99	7040
7	113	6951
8	126	6875
9	146	7181
10	159	7089
11	173	7055
12	189	7084
13	201	6987
14	220	7123
15	264	7987
16	288	8195
17	311	8333
18	328	8314
19	344	8278
20	363	8296
21	379	8251
22	411	8537
23	444	8810
24	462	8784
25	480	8758
26	495	8684
27	512	8633
28	527	8566
29	544	8523
30	562	8502
31	576	8435
32	592	8382
33	608	8346
34	626	8318
35	653	8418
36	678	8492
37	699	8507
38	720	8521
39	738	8497
40	758	8491
41	779	8503
42	815	8669
43	837	8676
44	862	8720
45	887	8759
46	904	8717
47	920	8668
48	937	8632
49	954	8586
50	972	8560
51	989	8522
52	1005	8481
53	1023	8456
54	1036	8388
55	1052	8342
56	1075	8357
57	1091	8315
58	1101	8233
59	1113	8163
60	1125	8102
61	1139	8051
62	1150	7978
63	1163	7923
64	1175	7867
65	1193	7849
66	1207	7805
67	1221	7759
68	1231	7694
69	1244	7642
70	1259	7607
71	1275	7583
72	1296	7582
73	1308	7531
74	1324	7505
75	1341	7486
76	1355	7448
77	1369	7411
78	1381	7363
79	1393	7314
80	1408	7284
81	1421	7247
82	1436	7214
83	1446	7165
84	1457	7116
85	1472	7087
86	1489	7069
87	1506	7052
88	1523	7035
89	1535	6997
90	1549	6963
91	1559	6917
92	1572	6879
93	1584	6844
94	1601	6828
95	1616	6803
96	1627	6762
97	1640	6730
98	1654	6701
99	1671	6684
100	1698	6711
101	1719	6708
102	1738	6699
103	1751	6667
104	1764	6639
105	1776	6603
106	1786	6563
107	1799	6530
108	1813	6506
109	1828	6481
110	1839	6446
111	1864	6457
112	1878	6433
113	1888	6395
114	1900	6363
115	1914	6338
116	1932	6324
117	1947	6305
118	1967	6298
119	1979	6268
120	1994	6246
121	2007	6218
122	2021	6195
123	2033	6167
124	2046	6139
125	2059	6114
126	2073	6089
127	2083	6056
128	2095	6027
129	2108	6002
130	2129	5998
131	2149	5991
132	2165	5975
133	2182	5961
134	2195	5936
135	2208	5910
136	2222	5888
137	2234	5861
138	2247	5835
139	2259	5811
140	2272	5787
141	2286	5765
142	2297	5734
143	2309	5709
144	2322	5685
145	2336	5666
146	2347	5637
147	2367	5631
148	2394	5639
149	2413	5631
150	2426	5607
151	2438	5582
152	2452	5561
153	2464	5536
154	2476	5513
155	2489	5488
156	2502	5467
157	2513	5440
158	2524	5413
159	2537	5393
160	2555	5381
161	2571	5364
162	2590	5354
163	2602	5331
164	2616	5312
165	2628	5287
166	2639	5262
167	2654	5245
168	2667	5223
169	2681	5204
170	2693	5181
171	2706	5161
172	2724	5150
173	2739	5132
174	2756	5118
175	2776	5110
176	2796	5104
177	2814	5091
178	2832	5079
179	2848	5063
180	2866	5051
181	2887	5044
182	2928	5072
183	2946	5060
184	2967	5053
185	2998	5061
186	3018	5052
187	3041	5047
188	3060	5036
189	3080	5025
190	3098	5012
191	3113	4994
192	3131	4981
193	3150	4969
194	3169	4957
195	3189	4946
196	3208	4934
197	3232	4930
198	3265	4939
199	3284	4926
200	3300	4910
201	3313	4887
202	3326	4867
203	3340	4847
204	3352	4824
205	3363	4800
206	3378	4781
207	3397	4769
208	3427	4771
209	3449	4762
210	3461	4741
211	3473	4718
212	3487	4699
213	3498	4675
214	3512	4655
215	3524	4633
216	3538	4614
